timestamp,num_positions,top_5_assets,top_5_weights,total_weight
2017-02-08,283,"AMD, CSX, MCD, JNJ, EG","0.1843, 0.0158, 0.0126, 0.0107, 0.0098",1.0000000000000002
2017-02-23,283,"AMD, CSX, EG, MCD, EVRG","0.1813, 0.0176, 0.0116, 0.0112, 0.0096",1.0
2017-03-09,283,"NRG, CSX, AMD, SO, LULU","0.1685, 0.0182, 0.0167, 0.0096, 0.0087",1.0
2017-03-23,283,"NRG, CSX, SO, SYY, MCD","0.1840, 0.0201, 0.0108, 0.0089, 0.0083",1.0
2017-04-06,283,"VRTX, NRG, CSX, MCD, DIS","0.1429, 0.0509, 0.0149, 0.0142, 0.0142",1.0
2017-04-21,283,"VRTX, MCD, DIS, DUK, CHD","0.1929, 0.0169, 0.0151, 0.0129, 0.0119",1.0
2017-05-05,283,"VRTX, DUK, CHD, DIS, MOH","0.1921, 0.0167, 0.0143, 0.0114, 0.0102",1.0
2017-05-19,283,"VRTX, MOH, DUK, VTRS, LRCX","0.1664, 0.0410, 0.0122, 0.0092, 0.0078",1.0
2017-06-05,283,"NVDA, VRTX, MOH, CL, VTRS","0.1509, 0.0494, 0.0155, 0.0121, 0.0109",1.0
2017-06-19,283,"MOH, NVDA, VRTX, EXR, CL","0.1801, 0.0193, 0.0168, 0.0127, 0.0112",1.0
2017-07-03,283,"FSLR, MOH, NXPI, NVDA, STZ","0.1160, 0.0599, 0.0267, 0.0197, 0.0141",1.0000000000000002
2017-07-18,283,"NVDA, FSLR, NXPI, STZ, MOH","0.1267, 0.0610, 0.0282, 0.0106, 0.0080",1.0000000000000002
2017-08-01,283,"NRG, NVDA, NXPI, STZ, KIM","0.1374, 0.0505, 0.0283, 0.0094, 0.0094",1.0
2017-08-15,283,"NRG, NXPI, STZ, FE, KIM","0.1841, 0.0168, 0.0114, 0.0102, 0.0089",1.0000000000000002
2017-08-29,283,"NRG, STZ, FITB, NEM, GWW","0.1820, 0.0189, 0.0125, 0.0120, 0.0099",1.0
2017-09-13,283,"ENPH, STZ, NEM, FITB, DUK","0.1824, 0.0178, 0.0141, 0.0110, 0.0102",1.0
2017-09-27,283,"ENPH, D, NRG, GWW, TTWO","0.1819, 0.0198, 0.0183, 0.0104, 0.0074",1.0
2017-10-11,283,"ENPH, DUK, JBHT, NEM, MAA","0.1814, 0.0161, 0.0134, 0.0121, 0.0089",1.0
2017-10-25,283,"ENPH, MU, MTCH, NEM, DUK","0.1449, 0.0242, 0.0213, 0.0115, 0.0099",1.0
2017-11-08,283,"ENPH, NXPI, EXR, MOH, CME","0.1872, 0.0189, 0.0090, 0.0087, 0.0075",1.0
2017-11-22,283,"ENPH, DHI, MU, MAR, DE","0.1834, 0.0071, 0.0068, 0.0066, 0.0055",1.0
2017-12-07,283,"ENPH, MET, MAR, SPG, EQR","0.1884, 0.0133, 0.0095, 0.0093, 0.0068",1.0
2017-12-21,283,"ENPH, MU, SPG, SBUX, MET","0.1863, 0.0097, 0.0096, 0.0084, 0.0081",1.0000000000000002
